service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:1,1,1,1,1,1,0,0,20240229,20240329
IDFM:10,1,1,0,1,1,0,0,20240229,20240329
IDFM:894,0,0,0,1,0,0,1,20240229,20240328
IDFM:959,1,1,1,0,1,1,0,20240301,20240329
IDFM:8525,0,0,1,0,0,1,0,20240302,20240327
IDFM:10000,0,0,0,0,0,1,0,20240302,20240323
IDFM:10017,0,0,0,0,0,0,1,20240303,20240324
IDFM:10028,0,0,0,0,0,1,0,20240316,20240316
IDFM:11440,1,1,1,1,1,1,0,20240229,20240329
IDFM:11534,0,0,0,0,0,0,1,20240317,20240317
IDFM:11703,0,0,1,0,0,1,0,20240302,20240327
IDFM:14934,0,0,1,0,1,0,0,20240301,20240329
IDFM:14938,1,1,0,1,0,0,0,20240229,20240328
IDFM:15377,0,1,1,1,1,1,0,20240229,20240329
IDFM:63576,1,1,0,0,1,0,0,20240301,20240329
IDFM:67478,0,0,0,0,0,1,0,20240229,20240323
IDFM:70582,1,1,1,1,1,0,1,20240301,20240329
IDFM:71134,1,1,0,1,0,0,0,20240304,20240328
IDFM:71442,1,1,1,1,0,1,0,20240302,20240328
IDFM:100000,1,1,1,1,1,0,0,20240304,20240329
IDFM:100026,0,0,0,0,0,1,0,20240302,20240323
IDFM:100028,0,0,0,0,0,0,1,20240303,20240324
IDFM:100039,0,0,0,1,1,0,0,20240229,20240301
IDFM:100041,0,0,0,0,0,0,1,20240303,20240303
IDFM:100166,0,0,0,0,0,0,1,20240310,20240324
IDFM:100362,0,0,1,0,0,0,0,20240306,20240327
IDFM:100363,0,0,0,1,0,0,0,20240229,20240229
IDFM:100664,1,1,1,1,1,0,0,20240301,20240329
IDFM:100746,1,1,0,1,1,0,0,20240301,20240329
IDFM:101212,0,0,0,0,1,0,0,20240301,20240329
IDFM:101220,1,1,1,1,0,0,0,20240304,20240328
IDFM:101494,1,1,1,1,1,1,0,20240229,20240329
IDFM:101495,1,1,1,1,1,1,1,20240229,20240329
IDFM:101497,0,0,0,0,0,1,1,20240302,20240324
IDFM:105240,1,1,1,1,1,0,1,20240229,20240329
IDFM:108219,1,1,1,1,0,0,0,20240229,20240328
IDFM:112884,0,0,0,0,0,1,0,20240229,20240323
IDFM:118553,0,0,0,0,1,0,0,20240301,20240301
IDFM:118795,0,0,0,0,0,0,1,20240229,20240324
IDFM:120305,0,0,0,0,1,1,0,20240301,20240329
IDFM:120319,1,0,0,0,0,0,0,20240304,20240325
IDFM:120324,0,1,1,1,0,0,0,20240229,20240328
IDFM:120329,0,1,1,1,0,0,1,20240229,20240328
IDFM:121757,1,1,1,1,0,0,1,20240229,20240328
IDFM:129994,0,0,0,0,0,1,0,20240309,20240323
IDFM:130125,0,0,0,0,0,1,0,20240302,20240302
IDFM:130351,0,0,0,0,1,0,0,20240308,20240329
IDFM:133765,0,1,1,1,1,0,0,20240229,20240329
IDFM:133982,0,0,0,0,0,1,1,20240229,20240324
IDFM:137073,0,0,0,0,1,0,0,20240229,20240329
IDFM:142166,1,1,1,1,1,1,0,20240301,20240329
IDFM:142701,1,1,1,1,1,1,1,20240301,20240329
IDFM:142832,0,0,1,1,1,1,1,20240229,20240329
IDFM:142838,0,0,1,1,1,1,0,20240229,20240329
IDFM:144542,1,1,0,1,1,1,0,20240229,20240329
IDFM:144648,1,1,1,1,1,1,0,20240304,20240329
IDFM:144663,0,0,0,1,1,1,0,20240229,20240302
IDFM:144903,0,0,0,0,1,0,1,20240301,20240329
IDFM:145019,1,1,1,1,0,1,1,20240229,20240328
IDFM:147511,1,1,1,1,0,1,0,20240229,20240328
IDFM:151751,0,0,0,0,0,1,1,20240302,20240324
IDFM:153619,1,1,1,1,1,0,0,20240229,20240329
IDFM:155896,1,1,1,1,0,0,0,20240229,20240329
IDFM:155900,0,0,0,0,1,0,0,20240301,20240322
IDFM:155913,1,1,1,0,0,0,0,20240304,20240320
IDFM:155914,0,0,0,1,1,0,0,20240229,20240329
IDFM:156008,0,0,0,1,0,0,1,20240229,20240329
IDFM:156011,0,0,0,1,0,1,1,20240229,20240329
IDFM:156012,0,0,0,1,1,1,1,20240229,20240329
IDFM:156041,0,0,0,1,1,1,0,20240229,20240329
IDFM:156181,0,0,0,0,1,1,0,20240301,20240323
IDFM:156342,1,1,1,1,0,0,1,20240229,20240329
IDFM:156850,1,1,1,1,0,1,0,20240229,20240329
IDFM:164878,0,0,0,0,0,0,1,20240303,20240317
IDFM:164882,0,0,0,0,0,1,1,20240302,20240317
IDFM:164894,1,1,1,1,1,0,0,20240229,20240329
IDFM:165001,1,1,1,1,1,1,0,20240229,20240329
IDFM:165082,1,1,1,1,1,1,0,20240229,20240329
IDFM:165219,0,0,0,0,0,1,0,20240302,20240316
IDFM:165284,0,0,0,0,1,1,0,20240301,20240329
IDFM:165487,1,1,1,1,0,1,0,20240229,20240328
