service_id,date,exception_type
IDFM:8525,20240316,2
IDFM:10000,20240316,2
IDFM:10017,20240317,2
IDFM:11440,20240316,2
IDFM:67478,20240301,1
IDFM:67478,20240229,1
IDFM:112884,20240229,1
IDFM:118795,20240301,1
IDFM:118795,20240229,1
IDFM:133982,20240229,1
IDFM:137073,20240229,1
IDFM:151751,20240317,2
IDFM:153619,20240317,1
IDFM:155896,20240329,1
IDFM:155913,20240305,2
IDFM:155914,20240305,1
IDFM:155914,20240327,1
IDFM:155914,20240326,1
IDFM:155914,20240325,1
IDFM:156008,20240305,1
IDFM:156008,20240329,1
IDFM:156008,20240327,1
IDFM:156008,20240326,1
IDFM:156008,20240325,1
IDFM:156011,20240305,1
IDFM:156011,20240329,1
IDFM:156011,20240327,1
IDFM:156011,20240326,1
IDFM:156011,20240325,1
IDFM:156012,20240305,1
IDFM:156012,20240327,1
IDFM:156012,20240326,1
IDFM:156012,20240325,1
IDFM:156041,20240305,1
IDFM:156041,20240327,1
IDFM:156041,20240326,1
IDFM:156041,20240325,1
IDFM:156342,20240329,1
IDFM:156850,20240329,1
IDFM:164878,20240310,2
IDFM:164882,20240310,2
IDFM:164894,20240303,1
IDFM:164894,20240317,1
IDFM:165001,20240303,1
IDFM:165001,20240317,1
IDFM:165001,20240323,2
IDFM:165082,20240323,2
IDFM:165284,20240323,2
IDFM:165487,20240323,2
IDFM:165708,20240303,1
IDFM:165708,20240317,1
IDFM:166554,20240302,2
IDFM:166557,20240302,1
IDFM:166560,20240302,1
IDFM:166571,20240303,1
IDFM:166571,20240302,1
IDFM:166616,20240303,1
IDFM:166629,20240303,1
IDFM:166637,20240303,1
IDFM:166637,20240302,1
IDFM:166922,20240302,2
IDFM:166931,20240302,2
IDFM:167068,20240303,1
IDFM:167075,20240303,1
IDFM:167095,20240303,2
IDFM:167650,20240303,2
IDFM:168171,20240303,1
IDFM:168171,20240302,1
IDFM:168239,20240303,2
IDFM:168239,20240302,2
IDFM:169063,20240303,1
IDFM:169096,20240302,1
IDFM:169096,20240303,2
IDFM:179933,20240303,2
IDFM:197075,20240322,1
IDFM:199630,20240303,2
IDFM:199630,20240302,2
IDFM:199911,20240317,2
IDFM:199917,20240317,2
IDFM:199917,20240323,1
IDFM:202631,20240310,1
IDFM:202631,20240317,1
IDFM:202762,20240310,1
IDFM:202762,20240309,1
IDFM:202762,20240317,1
IDFM:202762,20240316,1
IDFM:205207,20240302,1
IDFM:205207,20240323,1
IDFM:207661,20240303,2
IDFM:250604,20240306,1
IDFM:250604,20240305,1
IDFM:250604,20240304,1
IDFM:291368,20240328,1
IDFM:291374,20240326,1
IDFM:291376,20240308,2
IDFM:291383,20240301,1
IDFM:291383,20240308,1
IDFM:291389,20240328,1
IDFM:291389,20240327,1
IDFM:291403,20240319,1
IDFM:291407,20240327,1
IDFM:291410,20240304,2
IDFM:291416,20240302,1
IDFM:291416,20240309,1
IDFM:291425,20240229,1
IDFM:291429,20240319,1
IDFM:291429,20240326,1
IDFM:291437,20240305,2
IDFM:291438,20240320,1
IDFM:291438,20240327,1
IDFM:291446,20240306,2
IDFM:291451,20240326,1
IDFM:291464,20240302,1
IDFM:291464,20240309,1
IDFM:291470,20240319,1
IDFM:291470,20240326,1
IDFM:291472,20240327,2
IDFM:291839,20240301,2
IDFM:292277,20240310,2
IDFM:292277,20240317,2
IDFM:292354,20240309,2
IDFM:292354,20240316,2
IDFM:TN:1108053,20240330,1
IDFM:TN:1108366,20240317,1
IDFM:TN:1108366,20240324,1
IDFM:TN:1108370,20240324,1
IDFM:TN:1108370,20240318,2
IDFM:TN:1108536,20240308,1
IDFM:TN:1108536,20240305,1
IDFM:TN:1108536,20240315,1
IDFM:TN:1108536,20240326,1
IDFM:TN:1108536,20240327,2
IDFM:TN:1108537,20240315,2
IDFM:TN:1108537,20240327,1
IDFM:TN:1108537,20240326,2
IDFM:TN:1108707,20240329,1
IDFM:TN:1108707,20240328,1
IDFM:TN:1108707,20240327,1
IDFM:TN:1108707,20240326,1
IDFM:TN:1109006,20240328,1
IDFM:TN:1109006,20240327,1
IDFM:TN:1109006,20240326,1
IDFM:TN:1109006,20240325,1
IDFM:TN:1109041,20240310,2
IDFM:TN:1109041,20240309,2
IDFM:TN:1109041,20240317,2
IDFM:TN:1109041,20240316,2
IDFM:TN:1109109,20240310,2
IDFM:TN:1109109,20240317,2
IDFM:TN:1109147,20240311,2
IDFM:TN:1109147,20240318,2
IDFM:TN:1109725,20240324,2
IDFM:TN:1109725,20240323,2
IDFM:TN:1109726,20240324,2
IDFM:TN:1109726,20240323,2
IDFM:TN:1109783,20240318,2
IDFM:TN:1109801,20240323,2
IDFM:TN:1109803,20240323,2
IDFM:TN:1109810,20240317,1
IDFM:TN:1109810,20240323,2
IDFM:TN:1110904,20240317,2
